福建移动,#genre#
CCTV1,http://43.251.226.89/10001.php?id=1
CCTV2,http://43.251.226.89/10001.php?id=2
CCTV3,http://43.251.226.89/10001.php?id=3
CCTV4,http://43.251.226.89/10001.php?id=4
CCTV5,http://43.251.226.89/10001.php?id=5
CCTV6,http://43.251.226.89/10001.php?id=6
CCTV7,http://43.251.226.89/10001.php?id=7
CCTV8,http://43.251.226.89/10001.php?id=8
CCTV9,http://43.251.226.89/10001.php?id=9
CCTV10,http://43.251.226.89/10001.php?id=10
CCTV11,http://43.251.226.89/10001.php?id=11
CCTV12,http://43.251.226.89/10001.php?id=12
CCTV13,http://43.251.226.89/10001.php?id=13
CCTV14,http://43.251.226.89/10001.php?id=14
CCTV15,http://43.251.226.89/10001.php?id=15
CCTV16,http://43.251.226.89/10001.php?id=16
CCTV17,http://43.251.226.89/10001.php?id=17
CCTV5+,http://43.251.226.89/10001.php?id=18
CCTV16 4K,http://43.251.226.89/10001.php?id=19
北京卫视4K,http://43.251.226.89/10001.php?id=20
北京卫视,http://43.251.226.89/10001.php?id=21
天津卫视,http://43.251.226.89/10001.php?id=22
河北卫视,http://43.251.226.89/10001.php?id=23
山西卫视,http://43.251.226.89/10001.php?id=24
内蒙古卫视,http://43.251.226.89/10001.php?id=25
辽宁卫视,http://43.251.226.89/10001.php?id=26
吉林卫视,http://43.251.226.89/10001.php?id=27
黑龙江卫视,http://43.251.226.89/10001.php?id=28
东方卫视,http://43.251.226.89/10001.php?id=29
江苏卫视,http://43.251.226.89/10001.php?id=30
浙江卫视,http://43.251.226.89/10001.php?id=31
安徽卫视,http://43.251.226.89/10001.php?id=32
江西卫视,http://43.251.226.89/10001.php?id=33
山东卫视,http://43.251.226.89/10001.php?id=34
河南卫视,http://43.251.226.89/10001.php?id=35
湖北卫视,http://43.251.226.89/10001.php?id=36
湖南卫视,http://43.251.226.89/10001.php?id=37
广东卫视,http://43.251.226.89/10001.php?id=38
广西卫视,http://43.251.226.89/10001.php?id=39
海南卫视,http://43.251.226.89/10001.php?id=40
重庆卫视,http://43.251.226.89/10001.php?id=41
四川卫视,http://43.251.226.89/10001.php?id=42
贵州卫视,http://43.251.226.89/10001.php?id=43
云南卫视,http://43.251.226.89/10001.php?id=44
西藏卫视,http://43.251.226.89/10001.php?id=45
陕西卫视,http://43.251.226.89/10001.php?id=46
甘肃卫视,http://43.251.226.89/10001.php?id=47
青海卫视,http://43.251.226.89/10001.php?id=48
宁夏卫视,http://43.251.226.89/10001.php?id=49
新疆卫视,http://43.251.226.89/10001.php?id=50
深圳卫视,http://43.251.226.89/10001.php?id=51
兵团卫视,http://43.251.226.89/10001.php?id=52
三沙卫视,http://43.251.226.89/10001.php?id=53
康巴卫视,http://43.251.226.89/10001.php?id=54
延边卫视,http://43.251.226.89/10001.php?id=55
大湾区卫视,http://43.251.226.89/10001.php?id=56
东南卫视,http://43.251.226.89/10001.php?id=57
海峡卫视,http://43.251.226.89/10001.php?id=58
厦门卫视,http://43.251.226.89/10001.php?id=59
福建综合,http://43.251.226.89/10001.php?id=60
福建新闻,http://43.251.226.89/10001.php?id=61
福建电视剧,http://43.251.226.89/10001.php?id=62
福建乡村,http://43.251.226.89/10001.php?id=63
福建经济,http://43.251.226.89/10001.php?id=64
福建体育,http://43.251.226.89/10001.php?id=65
福建旅游,http://43.251.226.89/10001.php?id=66
福建教育,http://43.251.226.89/10001.php?id=67
福建少儿,http://43.251.226.89/10001.php?id=68
厦门1套,http://43.251.226.89/10001.php?id=69
厦门2套,http://43.251.226.89/10001.php?id=70
